Note,seconds,offset,duration,measure,Tie,Ghost,NoteValue
E,0,0.0,<music21.duration.Duration 1.75>,1,,False,1.75
B,1.0294117647058825,1.75,<music21.duration.Duration 0.25>,1,<music21.tie.Tie start>,False,0.25
C#,1.4705882352941178,2.5,<music21.duration.Duration 0.5>,1,,False,0.5
B,1.7647058823529413,3.0,<music21.duration.Duration 0.5>,1,,False,0.5
C#,2.058823529411765,3.5,<music21.duration.Duration 0.5>,1,,False,0.5
E,2.3529411764705883,0.0,<music21.duration.Duration 1.75>,2,,False,1.75
B,3.382352941176471,1.75,<music21.duration.Duration 0.25>,2,<music21.tie.Tie start>,False,0.25
C#,3.823529411764706,2.5,<music21.duration.Duration 0.5>,2,,False,0.5
E,4.11764705882353,3.0,<music21.duration.Duration 0.5>,2,,False,0.5
C#,4.411764705882353,3.5,<music21.duration.Duration 0.5>,2,,False,0.5
E,4.705882352941177,0.0,<music21.duration.Duration 1.75>,3,,False,1.75
B,5.735294117647059,1.75,<music21.duration.Duration 0.25>,3,<music21.tie.Tie start>,False,0.25
C#,6.176470588235294,2.5,<music21.duration.Duration 0.5>,3,,False,0.5
B,6.470588235294118,3.0,<music21.duration.Duration 0.5>,3,,False,0.5
C#,6.764705882352941,3.5,<music21.duration.Duration 0.5>,3,,False,0.5
E,7.0588235294117645,0.0,<music21.duration.Duration 1.75>,4,,False,1.75
G#,8.088235294117647,1.75,<music21.duration.Duration 0.25>,4,<music21.tie.Tie start>,False,0.25
C#,8.38235294117647,2.25,<music21.duration.Duration 0.5>,4,,False,0.5
C,8.676470588235293,2.75,<music21.duration.Duration 0.25>,4,,False,0.25
B,8.823529411764705,3.0,<music21.duration.Duration 0.5>,4,,False,0.5
C#,9.117647058823529,3.5,<music21.duration.Duration 0.5>,4,,False,0.5
E,9.411764705882353,0.0,<music21.duration.Duration 0.5>,5,,False,0.5
E,9.705882352941178,0.5,<music21.duration.Duration 0.5>,5,<music21.tie.Tie start>,False,0.5
B,10.441176470588237,1.75,<music21.duration.Duration 0.25>,5,<music21.tie.Tie start>,False,0.25
C#,10.882352941176473,2.5,<music21.duration.Duration 0.5>,5,,False,0.5
E,11.176470588235297,3.0,<music21.duration.Duration 0.5>,5,,False,0.5
C#,11.470588235294121,3.5,<music21.duration.Duration 0.5>,5,,False,0.5
E,11.764705882352946,0.0,<music21.duration.Duration 0.5>,6,,False,0.5
E,12.05882352941177,0.5,<music21.duration.Duration 0.5>,6,<music21.tie.Tie start>,False,0.5
F#,12.79411764705883,1.75,<music21.duration.Duration 0.25>,6,,False,0.25
E,12.94117647058824,2.0,<music21.duration.Duration 0.75>,6,,False,0.75
F#,13.382352941176476,2.75,<music21.duration.Duration 0.25>,6,<music21.tie.Tie start>,False,0.25
G#,13.823529411764712,3.5,<music21.duration.Duration 0.5>,6,,False,0.5
C#,14.117647058823536,0.0,<music21.duration.Duration 1.75>,7,,False,1.75
C#,15.147058823529418,1.75,<music21.duration.Duration 0.25>,7,<music21.tie.Tie start>,False,0.25
B,15.44117647058824,2.25,<music21.duration.Duration 0.25>,7,,False,0.25
G#,15.588235294117652,2.5,<music21.duration.Duration 0.5>,7,,False,0.5
B,15.882352941176476,3.0,<music21.duration.Duration 0.5>,7,,False,0.5
C,16.1764705882353,3.5,<music21.duration.Duration 0.5>,7,,False,0.5
C#,16.470588235294123,0.0,<music21.duration.Duration 1.75>,8,,False,1.75
C#,17.64705882352942,2.0,<music21.duration.Duration 0.75>,8,,False,0.75
C#,18.088235294117656,2.75,<music21.duration.Duration 0.25>,8,<music21.tie.Tie start>,False,0.25
D#,18.52941176470589,3.5,<music21.duration.Duration 0.5>,8,,False,0.5
E,18.823529411764714,0.0,<music21.duration.Duration 1.75>,9,,False,1.75
B,19.852941176470598,1.75,<music21.duration.Duration 0.25>,9,<music21.tie.Tie start>,False,0.25
C#,20.294117647058833,2.5,<music21.duration.Duration 0.5>,9,,False,0.5
E,20.588235294117656,3.0,<music21.duration.Duration 0.5>,9,,False,0.5
C#,20.882352941176478,3.5,<music21.duration.Duration 0.5>,9,,False,0.5
E,21.1764705882353,0.0,<music21.duration.Duration 2.0>,10,,False,2.0
E,22.352941176470594,2.0,<music21.duration.Duration 0.75>,10,,False,0.75
G#,22.79411764705883,2.75,<music21.duration.Duration 0.25>,10,<music21.tie.Tie start>,False,0.25
B,23.235294117647065,3.5,<music21.duration.Duration 0.5>,10,,False,0.5
C#,23.529411764705888,0.0,<music21.duration.Duration 3.0>,11,,False,3.0
G#,25.588235294117652,3.5,<music21.duration.Duration 0.5>,11,,False,0.5
C#,25.882352941176475,0.0,<music21.duration.Duration 0.75>,12,,False,0.75
B,26.32352941176471,0.75,<music21.duration.Duration 0.25>,12,,False,0.25
G#,26.470588235294123,1.0,<music21.duration.Duration 0.75>,12,,False,0.75
B,26.91176470588236,1.75,<music21.duration.Duration 0.25>,12,<music21.tie.Tie start>,False,0.25
C,27.352941176470594,2.5,<music21.duration.Duration 0.5>,12,,False,0.5
C#,27.647058823529417,3.0,<music21.duration.Duration 0.5>,12,,False,0.5
G#,27.94117647058824,3.5,<music21.duration.Duration 0.5>,12,,False,0.5
G#,28.23529411764706,0.0,<music21.duration.Duration 0.5>,13,,False,0.5
G#,28.529411764705884,0.5,<music21.duration.Duration 1.5>,13,<music21.tie.Tie start>,False,1.5
C#,29.85294117647059,2.75,<music21.duration.Duration 0.25>,13,,False,0.25
F#,30.000000000000004,3.0,<music21.duration.Duration 0.25>,13,,False,0.25
E,30.147058823529417,3.25,<music21.duration.Duration 0.25>,13,,False,0.25
C#,30.29411764705883,3.5,<music21.duration.Duration 0.5>,13,,False,0.5
F#,30.588235294117652,0.0,<music21.duration.Duration 1.75>,14,,False,1.75
C#,31.617647058823536,1.75,<music21.duration.Duration 0.25>,14,,False,0.25
F#,31.76470588235295,2.0,<music21.duration.Duration 0.5>,14,,False,0.5
C#,32.20588235294119,2.75,<music21.duration.Duration 0.25>,14,<music21.tie.Tie start>,False,0.25
C,32.64705882352943,3.5,<music21.duration.Duration 0.5>,14,,False,0.5
B,32.94117647058825,0.0,<music21.duration.Duration 1.75>,15,,False,1.75
D#,33.97058823529414,1.75,<music21.duration.Duration 0.25>,15,<music21.tie.Tie start>,False,0.25
E,34.26470588235296,2.25,<music21.duration.Duration 0.5>,15,,False,0.5
F#,34.7058823529412,3.0,<music21.duration.Duration 0.5>,15,,False,0.5
A,35.00000000000003,3.5,<music21.duration.Duration 0.5>,15,,False,0.5
B,35.294117647058854,0.0,<music21.duration.Duration 0.25>,16,,False,0.25
A,35.44117647058827,0.25,<music21.duration.Duration 0.25>,16,,False,0.25
F#,35.58823529411768,0.5,<music21.duration.Duration 0.5>,16,,False,0.5
B,35.88235294117651,1.0,<music21.duration.Duration 0.25>,16,,False,0.25
A,36.02941176470592,1.25,<music21.duration.Duration 0.25>,16,,False,0.25
F#,36.17647058823533,1.5,<music21.duration.Duration 0.5>,16,,False,0.5
B,36.47058823529416,2.0,<music21.duration.Duration 0.5>,16,,False,0.5
C#,36.764705882352985,2.5,<music21.duration.Duration 0.5>,16,,False,0.5
E,37.05882352941181,3.0,<music21.duration.Duration 0.25>,16,,False,0.25
C#,37.205882352941224,3.25,<music21.duration.Duration 0.25>,16,,False,0.25
B,37.35294117647064,3.5,<music21.duration.Duration 0.5>,16,,False,0.5
E,37.64705882352946,0.0,<music21.duration.Duration 1.75>,17,,False,1.75
B,38.67647058823535,1.75,<music21.duration.Duration 0.25>,17,<music21.tie.Tie start>,False,0.25
C#,39.117647058823586,2.5,<music21.duration.Duration 0.5>,17,,False,0.5
E,39.41176470588241,3.0,<music21.duration.Duration 0.5>,17,,False,0.5
C#,39.70588235294124,3.5,<music21.duration.Duration 0.5>,17,,False,0.5
E,40.000000000000064,0.0,<music21.duration.Duration 1.0>,18,<music21.tie.Tie start>,False,1.0
E,41.02941176470594,1.75,<music21.duration.Duration 0.25>,18,<music21.tie.Tie start>,False,0.25
F#,41.617647058823586,2.75,<music21.duration.Duration 0.25>,18,<music21.tie.Tie start>,False,0.25
G#,42.058823529411825,3.5,<music21.duration.Duration 0.5>,18,,False,0.5
C#,42.35294117647065,0.0,<music21.duration.Duration 1.75>,19,,False,1.75
