measure,pitch,offset,offsetMeasure,quarterLength,fullName,notehead
1,A3,1.0,0.0,3.0,A in octave 3 Dotted Half Note,normal
1,A3,4.0,3.0,0.5,A in octave 3 Eighth Note,normal
2,G#3,4.5,-0.5,0.5+2.0,G-sharp in octave 3 Half Note,normal
2,G#3,7.0,2.0,1.5,G-sharp in octave 3 Dotted Quarter Note,normal
2,G#3,8.5,3.5,0.5,G-sharp in octave 3 Eighth Note,normal
3,G3,9.0,0.0,1.5,G in octave 3 Dotted Quarter Note,normal
3,G3,10.5,1.5,0.5,G in octave 3 Eighth Note,normal
3,F#3,11.0,2.0,0.5,F-sharp in octave 3 Eighth Note,normal
3,B3,11.5,2.5,0.5,B in octave 3 Eighth Note,normal
3,B2,12.0,3.0,0.5,B in octave 2 Eighth Note,normal
4,E3,12.5,-0.5,0.5+1.5,E in octave 3 Dotted Quarter Note,normal
4,F#3,14.5,1.5,0.5+0.5,F-sharp in octave 3 Eighth Note,normal
4,G3,15.5,2.5,1.0,G in octave 3 Quarter Note,normal
4,G#3,16.5,3.5,0.5,G-sharp in octave 3 Eighth Note,normal
5,A3,17.0,0.0,3.0,A in octave 3 Dotted Half Note,normal
5,A3,20.0,3.0,0.5,A in octave 3 Eighth Note,normal
6,G#3,20.5,-0.5,0.5+2.0,G-sharp in octave 3 Half Note,normal
6,G#3,23.0,2.0,1.5,G-sharp in octave 3 Dotted Quarter Note,normal
6,G#3,24.5,3.5,0.5,G-sharp in octave 3 Eighth Note,normal
7,G3,25.0,0.0,1.5,G in octave 3 Dotted Quarter Note,normal
7,G3,26.5,1.5,0.5,G in octave 3 Eighth Note,normal
7,F#3,27.0,2.0,0.5,F-sharp in octave 3 Eighth Note,normal
7,B3,27.5,2.5,0.5,B in octave 3 Eighth Note,normal
7,B2,28.0,3.0,0.5,B in octave 2 Eighth Note,normal
8,E3,28.5,-0.5,0.5+1.5,E in octave 3 Dotted Quarter Note,normal
8,F#3,30.5,1.5,0.5+0.5,F-sharp in octave 3 Eighth Note,normal
