measure,pitch,root,chord,interval
3,G3,G,Gmaj7,P8
3,G3,G,Gmaj7,P8
3,F#3,G,Gmaj7,M7
3,B3,G,Gmaj7,M10
3,B2,G,Gmaj7,M3
4,G3,G,G7,P8
7,G3,G,Gmaj7,P8
7,G3,G,Gmaj7,P8
7,F#3,G,Gmaj7,M7
7,B3,G,Gmaj7,M10
7,B2,G,Gmaj7,M3
8,G3,G,G7,P8
11,G3,G,Gmaj7,P8
11,G3,G,Gmaj7,P8
11,F#3,G,Gmaj7,M7
11,B3,G,Gmaj7,M10
11,B2,G,Gmaj7,M3
12,G3,G,G7,P8
15,G3,G,Gmaj7,P8
15,G3,G,Gmaj7,P8
15,F#3,G,Gmaj7,M7
15,B3,G,Gmaj7,M10
15,B2,G,Gmaj7,M3
17,G2,G,Gmaj7,P1
17,B2,G,Gmaj7,M3
17,G2,G,Gmaj7,P1
19,G3,G,Gmaj7,P8
19,D3,G,Gmaj7,P5
19,G3,G,Gmaj7,P8
19,D#3,G,Gmaj7,A5
21,G3,G,Gmaj7,P8
21,G3,G,Gmaj7,P8
21,F#3,G,Gmaj7,M7
23,E3,E,E,P8
23,B2,E,E,P5
23,E3,E,E,P8
23,B2,E,E,P5
23,E3,E,E,P8
23,E3,E,E,P8
23,F#3,F#,F#,P8
24,G3,G,G,P8
24,D3,G,G,P5
24,G3,G,G,P8
24,D3,G,G,P5
24,G3,G,G,P8
24,D3,G,G,P5
24,G3,G,G,P8
24,G#3,G,G,A8
25,G3,G,Gmaj7,P8
25,G3,G,Gmaj7,P8
25,F#3,G,Gmaj7,M7
25,B3,G,Gmaj7,M10
25,B2,G,Gmaj7,M3
27,G3,G,Gmaj7,P8
27,D3,G,Gmaj7,P5
27,G3,G,Gmaj7,P8
29,G3,G,Gmaj7,P8
29,A2,G,Gmaj7,M2
29,F#2,G,Gmaj7,m-2
31,G3,G,Gmaj7,P8
31,G3,G,Gmaj7,P8
31,F#3,G,Gmaj7,M7
33,E3,E,E,P8
33,B2,E,E,P5
33,E3,E,E,P8
33,B2,E,E,P5
33,E3,E,E,P8
33,E3,E,E,P8
33,F#3,F#,F#,P8
34,G3,G,G,P8
34,D3,G,G,P5
34,G3,G,G,P8
34,D3,G,G,P5
34,G3,G,G,P8
34,D3,G,G,P5
34,G2,G,G,P1
34,G#2,G,G,A1
35,A2,A,G/A,P1
35,A2,A,G/A,P1
35,E3,A,G/A,P5
35,A3,A,G/A,P8
35,A3,A,G/A,P8
35,E3,A,G/A,P5
35,A2,A,G/A,P1
36,A2,A,G/A,P1
36,A2,A,G/A,P1
36,E3,A,G/A,P5
36,E3,A,G/A,P5
36,A3,A,G/A,P8
36,A3,A,G/A,P8
36,E3,A,G/A,P5
37,A2,A,G/A,P1
37,A2,A,G/A,P1
37,E3,A,G/A,P5
37,E3,A,G/A,P5
37,A3,A,G/A,P8
37,A3,A,G/A,P8
37,E3,A,G/A,P5
38,G2,G,A/G,P1
38,G2,G,A/G,P1
38,G2,G,A/G,P1
38,G2,G,A/G,P1
38,G2,G,A/G,P1
38,G2,G,A/G,P1
38,G2,G,A/G,P1
38,E2,G,A/G,m-3
39,F#3,F#,F#,P8
39,C#3,F#,F#,P5
39,F#3,F#,F#,P8
41,G2,G,Gmaj7,P1
41,D3,G,Gmaj7,P5
41,G3,G,Gmaj7,P8
41,D3,G,Gmaj7,P5
41,E3,G,Gmaj7,M6
41,D3,G,Gmaj7,P5
42,G2,G,G6,P1
42,D3,G,G6,P5
42,G3,G,G6,P8
42,D3,G,G6,P5
42,G2,G,G6,P1
42,G#2,G,G6,A1
43,A3,A,A,P8
43,E3,A,A,P5
44,A3,A,A add 9,P8
44,E3,A,A add 9,P5
44,A2,A,A add 9,P1
44,A2,A,A add 9,P1
44,A3,A,A,P8
44,E3,A,A,P5
45,B-3,B-,B-,P8
45,F3,B-,B-,P5
46,B-3,B-,B- add 9,P8
46,F3,B-,B- add 9,P5
46,B-3,B-,B- add 9,P8
46,B-3,B-,B- add 9,P8
46,B-2,B-,B-,P1
46,F3,B-,B-,P5
49,A-3,A-,A-maj7,P8
49,A-3,A-,A-maj7,P8
49,G3,A-,A-maj7,M7
49,C4,A-,A-maj7,M10
49,C3,A-,A-maj7,M3
53,A-3,A-,A-maj7,P8
53,A-3,A-,A-maj7,P8
53,G3,A-,A-maj7,M7
53,C4,A-,A-maj7,M10
53,C3,A-,A-maj7,M3
55,A-2,A-,A-maj7,P1
55,C3,A-,A-maj7,M3
55,E2,A-,A-maj7,d-4
57,A-2,A-,A-maj7,P1
57,C3,A-,A-maj7,M3
57,E-3,A-,A-maj7,P5
59,A-3,A-,A-maj7,P8
59,A-3,A-,A-maj7,P8
59,G3,A-,A-maj7,M7
61,F3,F,F,P8
61,C3,F,F,P5
61,F3,F,F,P8
61,C3,F,F,P5
61,F3,F,F,P8
61,F3,F,F,P8
61,G3,G,G,P8
62,A-3,A-,A-,P8
62,E-3,A-,A-,P5
62,A-3,A-,A-,P8
62,E-3,A-,A-,P5
62,A-3,A-,A-,P8
62,E-3,A-,A-,P5
62,F3,A-,A-,M6
62,G3,A-,A-,M7
63,A-3,A-,A-maj7,P8
63,A-3,A-,A-maj7,P8
63,E-3,A-,A-maj7,P5
65,A-3,A-,A-maj7,P8
65,A-3,A-,A-maj7,P8
67,A-3,A-,A-maj7,P8
67,E-3,A-,A-maj7,P5
67,A-3,A-,A-maj7,P8
67,E-3,A-,A-maj7,P5
69,A-3,A-,A-maj7,P8
69,E-3,A-,A-maj7,P5
69,A-3,A-,A-maj7,P8
71,A-3,A-,A-maj7,P8
71,A-3,A-,A-maj7,P8
71,E-3,A-,A-maj7,P5
1,E2,E,Emaj7,P1
1,B2,E,Emaj7,P5
1,C#3,E,Emaj7,M6
1,B2,E,Emaj7,P5
1,C#3,E,Emaj7,M6
2,E2,E,Emaj7,P1
2,B2,E,Emaj7,P5
2,C#3,E,Emaj7,M6
2,E3,E,Emaj7,P8
2,C#3,E,Emaj7,M6
3,E2,E,Emaj7,P1
3,B2,E,Emaj7,P5
3,C#3,E,Emaj7,M6
3,B2,E,Emaj7,P5
3,C#3,E,Emaj7,M6
4,E2,E,Emaj7,P1
4,G#2,E,Emaj7,M3
4,C#3,E,Emaj7,M6
4,C3,E,Emaj7,m6
4,B2,E,Emaj7,P5
4,C#3,E,Emaj7,M6
5,E2,E,Emaj7,P1
5,E2,E,Emaj7,P1
5,B2,E,Emaj7,P5
5,C#3,E,Emaj7,M6
5,E3,E,Emaj7,P8
5,C#3,E,Emaj7,M6
6,E3,E,Emaj7,P8
6,E3,E,Emaj7,P8
6,F#3,E,Emaj7,M9
6,E3,E,Emaj7,P8
6,F#3,E,Emaj7,M9
6,G#3,E,Emaj7,M10
9,E3,E,Emaj7,P8
9,B2,E,Emaj7,P5
9,C#3,E,Emaj7,M6
9,E3,E,Emaj7,P8
9,C#3,E,Emaj7,M6
10,E2,E,Emaj7,P1
10,E3,E,Emaj7,P8
10,G#3,E,Emaj7,M10
10,B3,E,Emaj7,P12
15,B2,B,A/B,P1
15,D#3,B,A/B,M3
15,E3,B,A/B,P4
15,x,B,A/B,x
15,F#3,B,A/B,P5
15,A3,B,A/B,m7
16,B3,B,B9,P8
16,A3,B,B9,m7
16,F#3,B,B9,P5
16,B3,B,B9,P8
16,A3,B,B9,m7
16,F#3,B,B9,P5
16,B2,B,B9,P1
16,C#3,B,B9,M2
16,E3,B,B9,P4
16,C#3,B,B9,M2
16,B2,B,B9,P1
17,E2,E,Emaj7,P1
17,B2,E,Emaj7,P5
17,C#3,E,Emaj7,M6
17,E3,E,Emaj7,P8
17,C#3,E,Emaj7,M6
18,E3,E,Emaj7,P8
18,E3,E,Emaj7,P8
18,F#3,E,Emaj7,M9
18,G#3,E,Emaj7,M10
21,E3,E,Emaj7,P8
21,B2,E,Emaj7,P5
21,C#3,E,Emaj7,M6
21,E3,E,Emaj7,P8
21,C#3,E,Emaj7,M6
22,E2,E,Emaj7,P1
22,E3,E,Emaj7,P8
22,G#3,E,Emaj7,M10
