measure,pitch,root,chord,interval
1,A3,A,Bm/A,P8
1,A3,A,Bm/A,P8
4,E3,E,Em7,P8
4,F#3,E,Em7,M9
5,A3,A,Bm/A,P8
5,A3,A,Bm/A,P8
8,E3,E,Em7,P8
8,F#3,E,Em7,M9
9,A3,A,Bm/A,P8
9,A2,A,Bm/A,P1
9,A3,A,Bm/A,P8
12,E3,E,Em7,P8
12,E3,E,Em7,P8
12,E3,E,Em7,P8
12,F#3,E,Em7,M9
13,A3,A,Bm/A,P8
13,A2,A,Bm/A,P1
13,A3,A,Bm/A,P8
16,E3,E,Em7,P8
16,F#3,E,Em7,M9
16,F#2,F#,F#m7,P1
16,F#2,F#,F#m7,P1
16,A2,F#,F#m7,m3
17,E2,E,Em7,P1
17,E2,E,Em7,P1
17,E#2,E,Em7,A1
18,F#2,F#,F#m7,P1
18,A2,F#,F#m7,m3
18,A#2,F#,F#m7,M3
18,B2,B,Bm7,P1
18,D3,B,Bm7,m3
18,E3,B,Bm7,P4
18,F#3,B,Bm7,P5
19,E3,E,Em7,P8
19,E3,E,Em7,P8
19,E#3,E,Em7,A8
20,F#3,F#,F#m7,P8
20,F#2,F#,F#m7,P1
20,A2,F#,F#m7,m3
20,A#2,F#,F#m7,M3
20,B2,B,Bm7,P1
20,D3,B,Bm7,m3
20,E3,B,Bm7,P4
20,F#3,B,Bm7,P5
21,E3,E,Em7,P8
21,E3,E,Em7,P8
21,E#3,E,Em7,A8
22,F#3,F#,F#m7,P8
22,A3,F#,F#m7,m10
22,A#3,F#,F#m7,M10
22,B3,B,Bm7,P8
22,B2,B,Bm7,P1
22,D3,B,Bm7,m3
22,D#3,B,Bm7,M3
26,E3,E,Em7,P8
26,F#3,E,Em7,M9
26,F#2,F#,F#m7,P1
26,D3,F#,F#m7,m6
27,E3,E,Em7,P8
27,E3,E,Em7,P8
27,E#3,E,Em7,A8
28,F#3,F#,F#m7,P8
28,F#2,F#,F#m7,P1
28,A2,F#,F#m7,m3
28,A#2,F#,F#m7,M3
28,B2,B,Bm7,P1
28,D3,B,Bm7,m3
28,E3,B,Bm7,P4
28,F#3,B,Bm7,P5
29,E2,E,Em7,P1
29,E2,E,Em7,P1
29,E#2,E,Em7,A1
30,F#2,F#,F#m7,P1
30,A2,F#,F#m7,m3
30,A#2,F#,F#m7,M3
30,B2,B,Bm7,P1
30,B2,B,Bm7,P1
30,D3,B,Bm7,m3
